w16_k2_t10_s3	prepare	done	data/benchmarks/human_nontata_promoters_border_estimated_w16_k2_t10_s3
w32_k2_t10_s3	prepare	done	data/benchmarks/human_nontata_promoters_border_estimated_w32_k2_t10_s3
w64_k2_t10_s3	prepare	done	data/benchmarks/human_nontata_promoters_border_estimated_w64_k2_t10_s3
w32_k3_t10_s3	prepare	done	data/benchmarks/human_nontata_promoters_border_estimated_w32_k3_t10_s3
w32_k2_t20_s3	prepare	done	data/benchmarks/human_nontata_promoters_border_estimated_w32_k2_t20_s3
w32_k2_t10_s6	prepare	done	data/benchmarks/human_nontata_promoters_border_estimated_w32_k2_t10_s6
w16_k2_t10_s3	42	done	results/human_nontata_estimator_w16_k2_t10_s3_seed42_threshold.json
w16_k2_t10_s3	43	done	results/human_nontata_estimator_w16_k2_t10_s3_seed43_threshold.json
w16_k2_t10_s3	44	done	results/human_nontata_estimator_w16_k2_t10_s3_seed44_threshold.json
w32_k2_t10_s3	42	done	results/human_nontata_estimator_w32_k2_t10_s3_seed42_threshold.json
w32_k2_t10_s3	43	done	results/human_nontata_estimator_w32_k2_t10_s3_seed43_threshold.json
w32_k2_t10_s3	44	done	results/human_nontata_estimator_w32_k2_t10_s3_seed44_threshold.json
w64_k2_t10_s3	42	done	results/human_nontata_estimator_w64_k2_t10_s3_seed42_threshold.json
w64_k2_t10_s3	43	done	results/human_nontata_estimator_w64_k2_t10_s3_seed43_threshold.json
w64_k2_t10_s3	44	done	results/human_nontata_estimator_w64_k2_t10_s3_seed44_threshold.json
w32_k3_t10_s3	42	done	results/human_nontata_estimator_w32_k3_t10_s3_seed42_threshold.json
w32_k3_t10_s3	43	done	results/human_nontata_estimator_w32_k3_t10_s3_seed43_threshold.json
w32_k3_t10_s3	44	done	results/human_nontata_estimator_w32_k3_t10_s3_seed44_threshold.json
w32_k2_t20_s3	42	done	results/human_nontata_estimator_w32_k2_t20_s3_seed42_threshold.json
w32_k2_t20_s3	43	done	results/human_nontata_estimator_w32_k2_t20_s3_seed43_threshold.json
w32_k2_t20_s3	44	done	results/human_nontata_estimator_w32_k2_t20_s3_seed44_threshold.json
w32_k2_t10_s6	42	done	results/human_nontata_estimator_w32_k2_t10_s6_seed42_threshold.json
w32_k2_t10_s6	43	done	results/human_nontata_estimator_w32_k2_t10_s6_seed43_threshold.json
w32_k2_t10_s6	44	done	results/human_nontata_estimator_w32_k2_t10_s6_seed44_threshold.json
